scenario,mechanism,bad_debt_rate,max_bad_debt,bad_debt_es95,avg_bad_debt,false_liquidation_count,false_liquidation_loss,total_user_loss,liquidation_count,liquidation_timing,liquidation_delay,early_liquidation_lead,ending_collateral_eth,ending_debt_usdc,scenario_group,delay_for_score,solvency_feasible,pareto_efficient,topsis_score,topsis_rank,bad_debt_es95_rank,false_liquidation_loss_rank,total_user_loss_rank,liquidation_delay_rank,liquidation_count_rank,mean_rank,metric_win_count,user_risk_axis,protocol_risk_axis
random_drawdown_04,fixed,0.0,0.0,0.0,0.0,0,0.0,97.51608920466447,2,3.0,3.0,0.0,0.3160379224883086,650.1072613644297,drawdown,3.0,True,True,0.7141019071206438,1.0,2.5,1.5,3.0,3.0,2.0,2.4,3,24.379022301166117,0.0
random_drawdown_04,twap,0.0,0.0,0.0,0.0,0,0.0,97.51608920466447,2,6.0,6.0,0.0,0.31660241431874114,650.1072613644297,drawdown,6.0,True,False,0.5340161055057883,3.0,2.5,1.5,3.0,4.0,2.0,2.6,3,24.379022301166117,0.0
random_drawdown_04,buffer,0.0,0.0,0.0,0.0,2,97.51608920466447,97.51608920466447,2,,0.0,0.0,0.3713460447130301,650.1072613644297,drawdown,0.0,True,True,0.6138381223633833,2.0,2.5,4.0,3.0,1.5,2.0,2.6,3,121.89511150583058,0.0
random_drawdown_04,uspl,0.0,0.0,0.0,0.0,9,92.84231769590198,92.84231769590198,9,,0.0,0.0,0.3823327599638117,743.5826915396793,drawdown,0.0,True,True,0.4721231697341999,4.0,2.5,3.0,1.0,1.5,4.0,2.4,3,116.05289711987749,0.0
random_drawdown_05,fixed,0.0,0.0,0.0,0.0,1,36.52276019298309,109.56828057894927,2,3.0,3.0,0.0,0.31309225975512156,730.4552038596619,drawdown,3.0,True,True,0.622802543380619,2.0,2.5,2.0,4.0,3.0,3.0,2.9,1,63.91483033772041,0.0
random_drawdown_05,twap,0.0,0.0,0.0,0.0,0,0.0,73.04552038596619,1,6.0,6.0,0.0,0.5710719580164901,1460.9104077193238,drawdown,6.0,True,True,0.561917140345825,3.0,2.5,1.0,1.5,4.0,1.5,2.1,4,18.261380096491546,0.0
random_drawdown_05,buffer,0.0,0.0,0.0,0.0,1,73.04552038596619,73.04552038596619,1,,0.0,0.0,0.6284821089784511,1460.9104077193238,drawdown,0.0,True,True,0.6823548607634475,1.0,2.5,3.0,1.5,1.5,1.5,2.0,4,91.30690048245773,0.0
random_drawdown_05,uspl,0.0,0.0,0.0,0.0,8,94.81285041025134,94.81285041025134,8,,0.0,0.0,0.4588467452475431,1025.5638072336208,drawdown,0.0,True,False,0.4417059651627759,4.0,2.5,4.0,3.0,1.5,4.0,3.0,2,118.51606301281419,0.0
random_drawdown_06,fixed,0.0,0.0,0.0,0.0,1,76.34350229699685,114.51525344549526,2,3.0,3.0,0.0,0.3463898876417361,763.4350229699684,drawdown,3.0,True,True,0.7348443776337075,1.0,2.5,2.0,1.0,3.0,1.0,1.9,3,104.97231565837066,0.0
random_drawdown_06,twap,0.0,0.0,0.0,0.0,0,0.0,133.6011290197445,3,27.0,27.0,0.0,0.16588246529511966,381.7175114849842,drawdown,27.0,True,True,0.5064701146887077,3.0,2.5,1.0,4.0,4.0,2.5,2.8,2,33.40028225493612,0.0
random_drawdown_06,buffer,0.0,0.0,0.0,0.0,2,95.42937787124606,133.60112901974446,3,-47.0,0.0,47.0,0.21876768010601133,381.7175114849842,drawdown,0.0,True,True,0.6948225041616201,2.0,2.5,3.0,3.0,1.5,2.5,2.5,2,128.82966012618218,0.0
